Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
257	-0.075	8.656	0.19065	4.863	5.595	6.076	6.349	6.795	7.114	7.616	8.656	9.85	10.563	11.077	11.889	12.45	13.59	15.813
258	-0.0753	8.6496	0.19072	4.859	5.591	6.071	6.344	6.789	7.109	7.61	8.65	9.843	10.556	11.07	11.882	12.443	13.582	15.806
259	-0.0756	8.6433	0.19078	4.855	5.586	6.066	6.339	6.784	7.103	7.604	8.643	9.836	10.549	11.063	11.874	12.436	13.575	15.798
260	-0.076	8.637	0.19085	4.851	5.581	6.061	6.333	6.778	7.097	7.599	8.637	9.83	10.542	11.056	11.867	12.428	13.568	15.791
261	-0.0763	8.6308	0.19091	4.847	5.577	6.056	6.328	6.773	7.092	7.593	8.631	9.823	10.535	11.049	11.86	12.421	13.56	15.784
262	-0.0767	8.6245	0.19097	4.843	5.572	6.051	6.323	6.768	7.086	7.587	8.625	9.816	10.528	11.042	11.853	12.414	13.553	15.777
263	-0.077	8.6183	0.19103	4.838	5.567	6.047	6.318	6.762	7.081	7.581	8.618	9.81	10.521	11.035	11.846	12.407	13.546	15.769
264	-0.0773	8.6121	0.1911	4.834	5.563	6.041	6.313	6.757	7.075	7.575	8.612	9.803	10.515	11.028	11.839	12.4	13.539	15.762
265	-0.0777	8.606	0.19116	4.83	5.558	6.037	6.308	6.752	7.07	7.57	8.606	9.797	10.508	11.021	11.832	12.393	13.532	15.755
266	-0.078	8.5998	0.19122	4.826	5.554	6.032	6.303	6.746	7.064	7.564	8.6	9.79	10.501	11.014	11.825	12.385	13.524	15.748
