Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
244	-0.0312	8.6192	0.20195	4.646	5.406	5.909	6.194	6.661	6.996	7.524	8.619	9.88	10.633	11.177	12.036	12.63	13.836	16.187
245	-0.0321	8.6118	0.20201	4.642	5.402	5.903	6.188	6.655	6.99	7.517	8.612	9.872	10.625	11.169	12.027	12.622	13.828	16.179
246	-0.0331	8.6045	0.20207	4.638	5.397	5.898	6.183	6.649	6.984	7.51	8.605	9.864	10.617	11.16	12.019	12.613	13.819	16.172
247	-0.034	8.5973	0.20213	4.634	5.392	5.893	6.177	6.643	6.978	7.504	8.597	9.856	10.609	11.152	12.011	12.605	13.811	16.164
248	-0.0349	8.5901	0.20219	4.63	5.387	5.888	6.172	6.637	6.971	7.497	8.59	9.848	10.601	11.144	12.003	12.597	13.803	16.157
249	-0.0358	8.5829	0.20225	4.626	5.383	5.882	6.166	6.631	6.965	7.491	8.583	9.841	10.593	11.136	11.994	12.588	13.795	16.149
250	-0.0367	8.5757	0.20231	4.622	5.378	5.877	6.161	6.625	6.959	7.484	8.576	9.833	10.585	11.128	11.986	12.58	13.786	16.142
251	-0.0376	8.5686	0.20237	4.618	5.373	5.872	6.155	6.619	6.953	7.478	8.569	9.825	10.577	11.12	11.978	12.572	13.778	16.134
252	-0.0385	8.5616	0.20242	4.614	5.369	5.867	6.15	6.614	6.947	7.472	8.562	9.818	10.569	11.112	11.97	12.564	13.77	16.127
253	-0.0394	8.5545	0.20248	4.61	5.364	5.862	6.145	6.608	6.941	7.465	8.555	9.81	10.561	11.104	11.962	12.556	13.762	16.119
254	-0.0403	8.5475	0.20253	4.607	5.36	5.857	6.139	6.602	6.935	7.459	8.548	9.802	10.553	11.096	11.954	12.547	13.754	16.111
255	-0.0412	8.5406	0.20258	4.603	5.355	5.852	6.134	6.597	6.929	7.453	8.541	9.795	10.546	11.088	11.945	12.539	13.746	16.104
256	-0.0421	8.5337	0.20263	4.6	5.351	5.847	6.129	6.591	6.924	7.446	8.534	9.787	10.538	11.08	11.937	12.531	13.738	16.096
257	-0.0429	8.5268	0.20268	4.596	5.346	5.842	6.124	6.586	6.918	7.44	8.527	9.78	10.53	11.072	11.929	12.523	13.73	16.089
258	-0.0438	8.52	0.20273	4.592	5.342	5.837	6.119	6.58	6.912	7.434	8.52	9.772	10.522	11.064	11.921	12.515	13.722	16.081
259	-0.0447	8.5132	0.20278	4.589	5.338	5.832	6.114	6.575	6.906	7.428	8.513	9.765	10.515	11.056	11.914	12.507	13.714	16.074
260	-0.0455	8.5064	0.20283	4.585	5.333	5.828	6.109	6.569	6.901	7.422	8.506	9.758	10.507	11.049	11.906	12.499	13.706	16.066
261	-0.0464	8.4997	0.20287	4.582	5.329	5.823	6.104	6.564	6.895	7.416	8.5	9.75	10.499	11.041	11.898	12.491	13.698	16.059
262	-0.0473	8.493	0.20292	4.578	5.325	5.818	6.099	6.559	6.889	7.41	8.493	9.743	10.492	11.033	11.89	12.483	13.69	16.051
263	-0.0481	8.4864	0.20296	4.575	5.321	5.814	6.094	6.553	6.884	7.404	8.486	9.736	10.484	11.025	11.882	12.475	13.682	16.044
264	-0.049	8.4798	0.20301	4.571	5.316	5.809	6.089	6.548	6.878	7.398	8.48	9.729	10.477	11.018	11.874	12.467	13.674	16.037
265	-0.0498	8.4732	0.20305	4.568	5.312	5.804	6.084	6.543	6.873	7.392	8.473	9.721	10.47	11.01	11.866	12.459	13.666	16.029
266	-0.0506	8.4667	0.20309	4.564	5.308	5.8	6.079	6.538	6.867	7.386	8.467	9.714	10.462	11.003	11.859	12.452	13.658	16.021
267	-0.0515	8.4602	0.20313	4.561	5.304	5.795	6.074	6.532	6.862	7.381	8.46	9.707	10.455	10.995	11.851	12.444	13.65	16.014
268	-0.0523	8.4538	0.20317	4.558	5.3	5.791	6.07	6.527	6.856	7.375	8.454	9.7	10.447	10.988	11.843	12.436	13.643	16.007
